prices,latitudes,longitudes,metro_stations,areas,floors,min_books
350000,55.773788,37.630257,"[['—ухаревска€до', '5'], ['ѕроспект ћира', '6Ц10'], ['÷ветной бульвар', '11Ц15']]",97.4,1,9 мес.
290000,55.6984292917186,37.63991006349899,"[['«»Ћ', '6Ц10'], ['јвтозаводска€', '16Ц20'], ['“ехнопарк', '21Ц30']]",57.7,1,36 мес.
256666,55.721473,37.572459,"[['—портивна€', '6Ц10'], ['Ћужники', '11Ц15'], ['‘рунзенска€', '11Ц15']]",88,3,11 мес.
88000,55.68391036987305,37.58610534667969,"[['јкадемическа€', '11Ц15'], [' рымска€', '21Ц30'], ['ѕрофсоюзна€', '21Ц30']]",68,,12 мес.
200000,55.78156,37.612883,"[['ƒостоевска€до', '5'], ['Ќовослободска€', '6Ц10'], ['ћенделеевска€', '11Ц15']]",75,1,11 мес.
300000,55.74692917,37.57677841,"[['—моленска€', '6Ц10'], [' иевска€', '6Ц10'], [' раснопресненска€', '21Ц30']]",60,1,11 мес.
250000,55.80618667814005,37.58143574603269,"[['ƒмитровска€до', '5'], ['—авЄловска€', '16Ц20'], ['“имир€зевска€', '16Ц20']]",50.3,1,11 мес.
250000,55.874632,37.704808,"[['Ѕабушкинска€от', '31'], ['ћедведковоот', '31'], ['—вибловоот', '31']]",90,2,11 мес.
130000,55.804668,37.594019,"[['ƒмитровска€', '11Ц15'], ['—авЄловска€', '16Ц20'], ['Ѕутырска€', '21Ц30']]",70,1,6 мес.
121000,55.84353,37.579619,"[['ќкружна€до', '5'], ['¬ладыкино', '11Ц15'], ['ѕетровско-–азумовска€', '11Ц15']]",82.5,,11 мес.
385000,55.8177222023254,37.4322645522537,"[['—партакдо', '5'], ['“ушинска€', '11Ц15'], ['ўукинска€от', '31']]",77,1,11 мес.
150000,55.73579407,37.59048843,"[['ѕарк культурыдо', '5'], ['‘рунзенска€', '16Ц20'], [' ропоткинска€', '16Ц20']]",89,1,11 мес.
65000,55.73790359,37.55947876,"[[' иевска€', '11Ц15'], ['—туденческа€', '21Ц30'], ['—моленска€', '21Ц30']]",50,,12 мес.
169950,55.851924,37.604628,"[['¬ладыкино', '11Ц15'], ['ќтрадное', '16Ц20'], ['ќкружна€', '21Ц30']]",90,6,11 мес.
120000,55.693175,37.62077,"[['¬ерхние котлыдо', '5'], ['Ќагатинска€', '11Ц15'], [' рымска€', '16Ц20']]",87,2,11 мес.
350000,55.6425209,37.34822083,"[['Ќовопеределкино', '6Ц10'], ['–ассказовка', '16Ц20'], ['Ѕоровское шоссе', '21Ц30']]",100,1,11 мес.
100000,55.75442505,37.65559006,"[['„каловска€до', '5'], [' урска€', '6Ц10'], [' итай-город', '16Ц20']]",77,1,11 мес.
190000,55.736736,37.418712,"[['ћолодЄжна€', '6Ц10'], ['–абочий ѕосЄлок', '21Ц30'], [' унцевска€', '21Ц30']]",52.7,1,11 мес.
125000,55.6936667585993,37.85519683973,"[['”хтомска€', '11Ц15'], ['Ћермонтовский проспект', '11Ц15'], ['∆улебино', '11Ц15']]",71,3,11 мес.
350000,55.694750978249424,37.463112018524164,"[['јминьевска€', '6Ц10'], ['ћатвеевска€', '21Ц30'], ['ќчаково', '21Ц30']]",65,1,11 мес.
128000,55.845855,37.662093,"[['–остокино', '11Ц15'], ['—виблово', '16Ц20'], ['Ѕотанический сад', '16Ц20']]",56.5,2,11 мес.
